epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,410.397,0.66785,0.7634,0.00352,0.99504,1,0.995,0.995,0.23732,0.25979,0.00205,0.00248336,0.00248336,0.0584834
46,419.128,0.45515,0.34793,0.00333,0.99504,1,0.995,0.995,0.23732,0.25979,0.00205,0.00249525,0.00249525,0.0574952
47,428.214,0.4138,0.33865,0.00219,0.99373,1,0.995,0.91478,0.51945,0.33905,0.00429,0.00250516,0.00250516,0.0565052
48,437.1,0.67198,0.87717,0.00494,0.99373,1,0.995,0.91478,0.51945,0.33905,0.00429,0.00251309,0.00251309,0.0555131
49,446.016,0.48769,0.37674,0.00322,0.88797,1,0.995,0.92008,0.50509,0.58598,0.00405,0.00251904,0.00251904,0.054519
50,455.011,0.38955,0.97933,0.00264,0.88797,1,0.995,0.92008,0.50509,0.58598,0.00405,0.00252301,0.00252301,0.053523
51,464.005,0.36172,0.71792,0.00252,0.9915,1,0.995,0.93425,0.40757,0.30047,0.0033,0.002525,0.002525,0.052525
52,472.674,0.46708,0.45897,0.00296,0.9915,1,0.995,0.93425,0.40757,0.30047,0.0033,0.00252501,0.00252501,0.051525
53,481.339,0.3618,1.03679,0.00266,0.9915,1,0.995,0.93425,0.40757,0.30047,0.0033,0.00252304,0.00252304,0.050523
54,490.147,0.42744,0.28098,0.00199,0.98121,1,0.995,0.9183,0.44597,0.31889,0.00345,0.00251909,0.00251909,0.0495191
55,499.517,0.50131,0.34326,0.00279,0.98121,1,0.995,0.9183,0.44597,0.31889,0.00345,0.00251316,0.00251316,0.0485132
56,508.346,0.74783,0.45742,0.00441,0.98121,1,0.995,0.9183,0.44597,0.31889,0.00345,0.00250525,0.00250525,0.0475053
57,517.336,0.53394,0.4601,0.00253,0.98899,1,0.995,0.92539,0.45518,0.34509,0.00404,0.00249536,0.00249536,0.0464954
58,526.839,0.58111,0.47136,0.00281,0.98899,1,0.995,0.92539,0.45518,0.34509,0.00404,0.00248349,0.00248349,0.0454835
59,535.48,0.57538,0.83714,0.00407,0.98899,1,0.995,0.92539,0.45518,0.34509,0.00404,0.00246964,0.00246964,0.0444696
60,544.361,0.36212,0.41324,0.00368,0.99442,1,0.995,0.96733,0.32778,0.19414,0.00254,0.00245381,0.00245381,0.0434538
61,553.089,0.31234,0.28201,0.00203,0.99442,1,0.995,0.96733,0.32778,0.19414,0.00254,0.002436,0.002436,0.042436
62,561.767,0.50125,0.7844,0.00202,0.99442,1,0.995,0.96733,0.32778,0.19414,0.00254,0.00241621,0.00241621,0.0414162
63,570.882,0.32866,0.39185,0.00227,0.99257,1,0.995,0.995,0.28006,0.2531,0.00259,0.00239444,0.00239444,0.0403944
64,581.15,0.43007,0.57486,0.00245,0.99257,1,0.995,0.995,0.28006,0.2531,0.00259,0.00237069,0.00237069,0.0393707
65,590.467,0.58201,0.57972,0.00251,0.99257,1,0.995,0.995,0.28006,0.2531,0.00259,0.00234496,0.00234496,0.038345
66,600.415,0.41058,0.59279,0.00189,0.99255,1,0.995,0.90346,0.55978,0.40768,0.00429,0.00231725,0.00231725,0.0373172
67,610.009,0.86401,0.62607,0.00421,0.99255,1,0.995,0.90346,0.55978,0.40768,0.00429,0.00228756,0.00228756,0.0362876
68,619.278,0.69866,0.44336,0.00436,0.99255,1,0.995,0.90346,0.55978,0.40768,0.00429,0.00225589,0.00225589,0.0352559
69,628.519,0.54609,0.53785,0.00371,0.99294,1,0.995,0.96438,0.27122,0.15855,0.00265,0.00222224,0.00222224,0.0342222
